JOURNALNUMBER,TXDATE,MEMO,GST,INCLUSIVE,ACCOUNTNUMBER,DEBITEXGST,DEBITINCGST,CREDITEXGST,CREDITINCGST,JOB,TAXCODE
1,30-05-2016,,P,0,4-3500,350,350,,,9,N-T
1,30-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,16-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,16-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,20-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,20-05-2016,,P,0,2-3070,,,350,350,2,N-T
1,06-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,06-05-2016,,P,0,2-3070,,,350,350,2,N-T
1,18-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,18-05-2016,,P,0,2-4880,,,350,350,2,N-T
1,16-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,16-05-2016,,P,0,2-3040,,,350,350,01,N-T
1,23-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,23-05-2016,,P,0,2-3070,,,350,350,2,N-T
1,20-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,20-05-2016,,P,0,2-3890,,,350,350,6,N-T
1,23-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,23-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,27-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,27-05-2016,,P,0,2-3040,,,350,350,01,N-T
1,27-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,27-05-2016,,P,0,2-3070,,,350,350,2,N-T
1,27-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,27-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,27-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,27-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,03-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,03-05-2016,,P,0,2-3070,,,350,350,2,N-T
1,27-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,27-05-2016,,P,0,2-3070,,,350,350,2,N-T
1,06-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,06-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,03-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,03-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,12-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,12-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,18-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,18-05-2016,,P,0,2-3040,,,350,350,01,N-T
1,06-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,06-05-2016,,P,0,2-4880,,,350,350,2,N-T
1,20-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,20-05-2016,,P,0,2-3070,,,350,350,2,N-T
1,18-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,18-05-2016,,P,0,2-3890,,,350,350,6,N-T
1,20-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,20-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,05-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,05-05-2016,,P,0,2-4795,,,350,350,01,N-T
1,19-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,19-05-2016,,P,0,2-5550,,,350,350,01,N-T
1,19-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,19-05-2016,,P,0,2-3070,,,350,350,2,N-T
1,27-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,27-05-2016,,P,0,2-4795,,,350,350,01,N-T
1,03-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,03-05-2016,,P,0,2-3840,,,350,350,01,N-T
1,16-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,16-05-2016,,P,0,2-3890,,,350,350,6,N-T
1,27-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,27-05-2016,,P,0,2-3890,,,350,350,6,N-T
