JOURNALNUMBER,TXDATE,MEMO,GST,INCLUSIVE,ACCOUNTNUMBER,DEBITEXGST,DEBITINCGST,CREDITEXGST,CREDITINCGST,JOB,TAXCODE
1,05-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,05-05-2016,,P,0,2-3010,,,350,350,13,N-T
1,27-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,27-05-2016,,P,0,2-3020,,,350,350,13,N-T
1,02-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,02-05-2016,,P,0,2-3010,,,350,350,13,N-T
1,02-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,02-05-2016,,P,0,2-3050,,,350,350,13,N-T
1,12-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,12-05-2016,,P,0,2-3050,,,350,350,13,N-T
1,06-05-2016,,P,0,23035,112.61,112.61,,,13,N-T
1,06-05-2016,,P,0,23195,,,112.61,112.61,13,N-T
1,06-05-2016,,P,0,23035,65.74,65.74,,,13,N-T
1,06-05-2016,,P,0,23065,,,65.74,65.74,13,N-T
