JOURNALNUMBER,TXDATE,MEMO,GST,INCLUSIVE,ACCOUNTNUMBER,DEBITEXGST,DEBITINCGST,CREDITEXGST,CREDITINCGST,JOB,TAXCODE
1,12-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,12-05-2016,,P,0,23010,,,350,350,22,N-T
1,20-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,20-05-2016,,P,0,23100,,,350,350,22,N-T
1,26-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,26-05-2016,,P,0,23010,,,350,350,22,N-T
1,04-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,04-05-2016,,P,0,23010,,,350,350,22,N-T
1,18-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,18-05-2016,,P,0,23010,,,350,350,22,N-T
1,18-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,18-05-2016,,P,0,23100,,,350,350,22,N-T
1,30-05-2016,,P,0,5-2260,350,350,,,9,N-T
1,30-05-2016,,P,0,23010,,,350,350,22,N-T
