LASTNAME,FIRSTNAME,ADDR1,ADDR2,ADDR3,ADDR4,INCLUSIVE,INVOICENUMBER,INVOICEDATE,CUSTOMERPO,SHIPVIA,DELIVERYSTATUS,DESCRIPTION,ACCOUNTNUM,AMOUNT,IncTaxAMOUNT,JOB,COMMENT,JOURNALMEMO,SPLASTNAME,SPFIRSTNAME,SHIPPINGDATE,ReferralSource,TAXCODE,NONGSTAMOUNT,GST_AMOUNT,LCTAMOUNT,FREIGHTAMOUNT,INCTAXFREIGHTAMOUNT,FREIGHTTAXCODE,FREIGHTNONGST,FREIGHTGST,FREIGHTLCT,SALESTATUS,CURRENCYCODE,EXCHANGERATE,TERMS1,TERMS2,TERMS3,TERMS4,TERMS5,AMOUNTPAID,PAYMENTMETHOD,PAYMENTNOTES,NAMEONCARD,CARDNUMBER,EXPIRYDATE,AUTHCODE,BSB,ACCOUNTNUMBER,ACCOUNTNAME,CHECQUENUM,CATEGORY,CARDID


Fees-12 OThe H,,,,,,,10588,18/05/16,,,,Marketing Production Fee,44000,195.0000,195.0000,9,,,,,,Advertising,GST,,17.7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-12 OThe H
Fees-12 OThe H,,,,,,,10588,18/05/16,,,,Advertising,52200,892.1500,892.1500,9,,,,,,Advertising,GST,,81.1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-12 OThe H
Fees-12 OThe H,,,,,,,10588,18/05/16,,,,Brochures,52240,255.0000,255.0000,9,,,,,,Advertising,GST,,23.1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-12 OThe H


Fees-Belm3A,,,,,,,10418,07/04/16,,,,Advertising,52200,65.0000,65.0000,9,,,,,,Advertising,GST,,5.9100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-Belm3A


Fees-High4/241,,,,,,,10582,17/05/16,,,,Auctioneer,43500,350.0000,350.0000,9,,,,,,Advertising,GST,,31.8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-High4/241
Fees-High4/241,,,,,,,10582,17/05/16,,,,Marketing Production Fee,44000,550.0000,550.0000,9,,,,,,Advertising,GST,,50.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-High4/241
Fees-High4/241,,,,,,,10582,17/05/16,,,,Advertising,52200,2014.1500,2014.1500,9,,,,,,Advertising,GST,,183.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-High4/241
Fees-High4/241,,,,,,,10582,17/05/16,,,,Internet,52250,3300.0000,3300.0000,9,,,,,,Advertising,GST,,300.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-High4/241


Fees-Lans27,,,,,,,10579,17/05/16,,,,Marketing Production Fee,44000,1550.0000,1550.0000,9,,,,,,Advertising,GST,,140.9100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-Lans27
Fees-Lans27,,,,,,,10579,17/05/16,,,,Advertising,52200,12063.5000,12063.5000,9,,,,,,Advertising,GST,,1096.6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fees-Lans27
